,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
7768,"Apartamento com 3 Quartos para Aluguel, 116m²","Rua Jacques Félix, 96 - Vila Nova Conceição, São Paulo - SP",116 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 8.000 /mês,R$ 1.470
7769,"Apartamento com 4 Quartos para Aluguel, 552m²","Rua Doutor Eduardo de Souza Aranha - Itaim Bibi, São Paulo - SP",552 m²,4 Quartos,5 Banheiros,8 Vagas,R$ 55.000 /mês,R$ 11.000
7770,"Apartamento com 2 Quartos para Aluguel, 98m²","Rua Flórida, 1901 - Brooklin, São Paulo - SP",98 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 8.000 /mês,R$ 1.550
7771,Apartamento com 2 Quartos para Venda/Aluguel 50m²,"Rua Morubixaba - Cidade Líder, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 331
7772,Apartamento com 2 Quartos para Venda/Aluguel 55m²,"Vila Mascote, São Paulo - SP",55 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.300 /mês,R$ 700
7773,"Apartamento com 2 Quartos para Aluguel, 63m²","Avenida Padre Antônio José dos Santos - Brooklin, São Paulo - SP",63 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 790
7774,"Apartamento com Quarto para Aluguel, 38m²","Rua Frederico Abranches, 375 - Vila Buarque, São Paulo - SP",38 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.400 /mês,R$ 604
7775,"Apartamento com 3 Quartos para Aluguel, 131m²","Rua Pedroso Alvarenga, 313 - Itaim Bibi, São Paulo - SP",131 m²,3 Quartos,1 Banheiro,1 Vaga,R$ 4.985 /mês,R$ 945
7776,"Apartamento com 3 Quartos para Aluguel, 55m²","Rodovia Raposo Tavares, 8760 - Conjunto Residencial Butantã, São Paulo - SP",55 m²,3 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 0
7777,"Apartamento com 3 Quartos para Aluguel, 118m²","Rua Manuel da Nóbrega - Ibirapuera, São Paulo - SP",118 m²,3 Quartos,2 Banheiros,2 Vagas,R$ 6.000 /mês,R$ 1.100
7778,"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Jaraguá - Bom Retiro, São Paulo - SP",58 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 540
7779,Apartamento com Quarto para Venda/Aluguel 33m²,"Santo Amaro, São Paulo - SP",33 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.300 /mês,R$ 598
