,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
0,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Doutor Eduardo de Souza Aranha, 140 - Vila Nova Conceição, São Paulo - SP",100 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 8.500 /mês,R$ 600
1,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Álvaro de Carvalho, 134 - Centro, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 780
2,"Apartamento com 2 Quartos para Aluguel, 110m²","Avenida dos Eucaliptos, 113 - Moema, São Paulo - SP",110 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 4.200 /mês,R$ 1.400
3,"Apartamento com Quarto para Aluguel, 39m²","Rua José Getúlio, 109 - Liberdade, São Paulo - SP",39 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.700 /mês,R$ 540
4,"Apartamento com Quarto para Aluguel, 45m²","Rua Barão de Jaceguai, 1274 - Campo Belo, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.950 /mês,R$ 580
5,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Araçoiaba, 30 - Vila do Bosque, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.200 /mês,R$ 700
6,"Apartamento com Quarto para Aluguel, 20m²","Rua Doutor Corinto Baldoino Costa, 42 - Tatuapé, São Paulo - SP",20 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.240 /mês,R$ 117
7,"Apartamento com Quarto para Aluguel, 48m²","Rua Oscar Caravelas, 280 - Vila Madalena, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.200 /mês,R$ 982
8,"Apartamento com 2 Quartos para Aluguel, 61m²","Avenida Mofarrej - Vila Leopoldina, São Paulo - SP",61 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 650
9,"Apartamento com 3 Quartos para Aluguel, 125m²","Rua Pedroso Alvarenga, 271 - Itaim Bibi, São Paulo - SP",125 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 9.500 /mês,R$ 1.850
10,"Apartamento com Quarto para Aluguel, 100m²","Alameda Itu, 859 - Jardim Paulista, São Paulo - SP",100 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 3.750 /mês,R$ 1.200
11,"Apartamento com 2 Quartos para Aluguel, 74m²","Rua Francisco José da Silva, 292 - Vila Andrade, São Paulo - SP",74 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 2.900 /mês,R$ 660
12,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Frei Manuel do Desterro, 190 - Vila Esperança, São Paulo - SP",55 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.490 /mês,R$ 0
13,"Apartamento com 4 Quartos para Aluguel, 144m²","Avenida Aratãs, 200 - Moema, São Paulo - SP",144 m²,4 Quartos,6 Banheiros,2 Vagas,R$ 5.700 /mês,R$ 1.640
14,"Apartamento com 2 Quartos para Aluguel, 72m²","Rua Padre João Manuel - Jardins, São Paulo - SP",72 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 5.700 /mês,R$ 1.123
15,"Apartamento com Quarto para Aluguel, 72m²","Rua Professor Djalma Bento, 213 - Jardim Marajoara, São Paulo - SP",72 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.495 /mês,R$ 720
16,"Apartamento com 5 Quartos para Aluguel, 240m²","Rua Verbo Divino, 1061 - Chácara Santo Antônio, São Paulo - SP",240 m²,5 Quartos,5 Banheiros,4 Vagas,R$ 13.000 /mês,R$ 3.300
17,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Piracuama, 417 - Perdizes, São Paulo - SP",65 m²,2 Quartos,1 Banheiro,2 Vagas,R$ 1.700 /mês,R$ 800
18,"Apartamento com 2 Quartos para Aluguel, 76m²","Rua Gama Lobo, 1934 - Vila Dom Pedro I, São Paulo - SP",76 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.350 /mês,R$ 1.050
19,"Apartamento com Quarto para Aluguel, 34m²","Avenida Onze de Junho, 911 - Vila Clementino, São Paulo - SP",34 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.750 /mês,R$ 505
20,"Apartamento com 4 Quartos para Aluguel, 240m²","Rua Simão Álvares, 801 - Pinheiros, São Paulo - SP",240 m²,4 Quartos,5 Banheiros,3 Vagas,R$ 12.000 /mês,R$ 2.995
21,"Apartamento com 3 Quartos para Aluguel, 168m²","Avenida Nove de Julho, 5881 - Jardim Paulista, São Paulo - SP",168 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 22.000 /mês,R$ 2.766
22,"Apartamento com Quarto para Aluguel, 36m²","Avenida Iraí, 312 - Indianópolis, São Paulo - SP",36 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 3.200 /mês,R$ 450
23,"Apartamento com 4 Quartos para Aluguel, 245m²","Rua Periquito, 225 - Vila Uberabinha, São Paulo - SP",245 m²,4 Quartos,4 Banheiros,4 Vagas,R$ 22.000 /mês,R$ 3.940
24,"Apartamento com 2 Quartos para Aluguel, 70m²","Alameda dos Anapurus, 1680 - Indianópolis, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.400 /mês,R$ 907
25,"Apartamento com Quarto para Aluguel, 57m²","Rua Pamplona, 935 - Jardim Paulista, São Paulo - SP",57 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.380 /mês,R$ 1.600
26,"Apartamento com 3 Quartos para Aluguel, 75m²","Avenida Engenheiro José Salles, 200 - Socorro, São Paulo - SP",75 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 0
27,"Apartamento com Quarto para Aluguel, 50m²","Rua Frei Caneca, 348 - Consolação, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.000 /mês,R$ 600
28,"Apartamento com Quarto para Aluguel, 44m²","Avenida Conselheiro Rodrigues Alves, 127 - Vila Mariana, São Paulo - SP",44 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.800 /mês,R$ 410
29,"Apartamento com 2 Quartos para Aluguel, 54m²","Rua Doutor Nicolau de Sousa Queirós, 406 - Vila Mariana, São Paulo - SP",54 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 630
30,"Apartamento com Quarto para Aluguel, 66m²","Rua Adalberto Kemeny - Parque Industrial Tomas Edson, São Paulo - SP",66 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 2.780 /mês,R$ 750
31,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua José Veríssimo da Costa Pereira, 130 - Vila do Encontro, São Paulo - SP",60 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 550
32,"Apartamento com 3 Quartos para Aluguel, 205m²","Rua Tabapuã, 245 - Itaim Bibi, São Paulo - SP",205 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 7.900 /mês,R$ 2.380
33,"Apartamento com Quarto para Aluguel, 31m²","Avenida Jandira, 501 - Indianópolis, São Paulo - SP",31 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.260 /mês,R$ 1.700
34,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Pedroso Alvarenga, 220 - Itaim Bibi, São Paulo - SP",100 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 2.700 /mês,R$ 1.300
35,"Apartamento com 3 Quartos para Aluguel, 200m²","Rua Guarará, 551 - Jardim Paulista, São Paulo - SP",200 m²,3 Quartos,4 Banheiros,4 Vagas,R$ 23.000 /mês,R$ 4.800
36,"Apartamento com Quarto para Aluguel, 35m²","Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",35 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.800 /mês,R$ 548
37,"Apartamento com Quarto para Aluguel, 36m²","Rua Visconde de Parnaíba, 1046 - Brás, São Paulo - SP",36 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.900 /mês,R$ 420
38,"Apartamento com Quarto para Aluguel, 29m²","Avenida Rangel Pestana, 1088 - Brás, São Paulo - SP",29 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.200 /mês,R$ 380
39,"Apartamento com 3 Quartos para Aluguel, 68m²","Rua Aroaba, 482 - Vila Leopoldina, São Paulo - SP",68 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 2.350 /mês,R$ 780
40,"Apartamento com Quarto para Aluguel, 75m²","Rua Bandeira Paulista, 65 - Itaim Bibi, São Paulo - SP",75 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 5.000 /mês,R$ 1.800
41,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Toledo Barbosa, 637 - Belenzinho, São Paulo - SP",60 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 550
42,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Joseph Nigri - Jardim das Perdizes, São Paulo - SP",60 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 800
43,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Canário, 891 - Indianópolis, São Paulo - SP",75 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.400 /mês,R$ 1.093
44,"Apartamento com 2 Quartos para Aluguel, 68m²","Rua Geórgia, 207 - Brooklin, São Paulo - SP",68 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.665 /mês,R$ 1.032
45,"Apartamento com 4 Quartos para Aluguel, 240m²","Rua Carlos Steinen - Paraíso, São Paulo - SP",240 m²,4 Quartos,6 Banheiros,3 Vagas,R$ 10.500 /mês,R$ 3.540
46,"Apartamento com 2 Quartos para Aluguel, 95m²","Rua Jacurici, 249 - Itaim Bibi, São Paulo - SP",95 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 4.199 /mês,R$ 925
47,"Apartamento com 2 Quartos para Aluguel, 77m²","Alameda Joaquim Eugênio de Lima, 113 - Jardim Paulista, São Paulo - SP",77 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 5.900 /mês,R$ 900
48,"Apartamento com Quarto para Aluguel, 50m²","Rua Barão do Triunfo, 314 - Brooklin, São Paulo - SP",50 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 730
49,"Apartamento com 3 Quartos para Aluguel, 105m²","Rua Conselheiro Brotero, 717 - Santa Cecília, São Paulo - SP",105 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 1.250
50,"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Marquês de Paranaguá - Consolação, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.700 /mês,R$ 650
51,"Apartamento com 2 Quartos para Aluguel, 65m²","Avenida dos Carinás - Moema, São Paulo - SP",65 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 3.800 /mês,R$ 410
52,"Apartamento com 2 Quartos para Aluguel, 56m²","Rua Ernesto de Castro, 235 - Brás, São Paulo - SP",56 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 500
53,"Apartamento com 2 Quartos para Aluguel, 69m²","Rua Cristiano Viana, 647 - Cerqueira César, São Paulo - SP",69 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 2.800 /mês,R$ 1.100
54,"Apartamento com 3 Quartos para Aluguel, 183m²","Rua Riachuelo, 265 - Sé, São Paulo - SP",183 m²,3 Quartos,2 Banheiros,-- Vaga,R$ 2.200 /mês,R$ 590
55,"Apartamento com 4 Quartos para Aluguel, 100m²","Avenida Caxingui, 175 - Vila Pirajussara, São Paulo - SP",100 m²,4 Quartos,2 Banheiros,1 Vaga,R$ 3.200 /mês,R$ 1.100
56,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Doutor Sérgio Meira, 230 - Barra Funda, São Paulo - SP",65 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.000 /mês,R$ 780
57,"Apartamento com Quarto para Aluguel, 45m²","Alameda Itu, 78 - Jardim Paulista, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.900 /mês,R$ 760
58,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua dos Americanos, 838 - Barra Funda, São Paulo - SP",60 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 506
59,"Apartamento com Quarto para Aluguel, 48m²","Rua Canário - Moema, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 5.000 /mês,R$ 780
60,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Rui de Morais Apocalipse, 326 - Jardim Do Tiro, São Paulo - SP",65 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 300
61,"Apartamento com 3 Quartos para Aluguel, 55m²","Avenida Engenheiro Heitor Antônio Eiras Garcia, 240 - Jardim Esmeralda, São Paulo - SP",55 m²,3 Quartos,1 Banheiro,1 Vaga,R$ 1.650 /mês,R$ 547
62,"Apartamento com 3 Quartos para Aluguel, 97m²","Rua Icaraí - Tatuapé, São Paulo - SP",97 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 0
63,"Apartamento com 4 Quartos para Aluguel, 380m²","Praça da República, 32 - República, São Paulo - SP",380 m²,4 Quartos,6 Banheiros,1 Vaga,R$ 10.000 /mês,R$ 2.800
64,"Apartamento com Quarto para Aluguel, 45m²","Rua Bem Vinda Apparecida de Abreu Leme, 90 - Santana, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 713
65,"Apartamento com 2 Quartos para Aluguel, 90m²","Avenida Francisco Matarazzo, 156 - Água Branca, São Paulo - SP",90 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.700 /mês,R$ 800
66,"Apartamento com Quarto para Aluguel, 30m²","Rua Verbo Divino, 1323 - Chácara Santo Antônio, São Paulo - SP",30 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.656 /mês,R$ 900
67,"Apartamento com 3 Quartos para Aluguel, 114m²","Rua Peixoto Gomide, 581 - Jardim Paulista, São Paulo - SP",114 m²,3 Quartos,5 Banheiros,1 Vaga,R$ 4.990 /mês,R$ 1.850
68,"Apartamento com 2 Quartos para Aluguel, 115m²","Rua Apinajés, 930 - Perdizes, São Paulo - SP",115 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.599 /mês,R$ 1.157
69,"Apartamento com Quarto para Aluguel, 52m²","Rua Pequetita, 111 - Vila Olímpia, São Paulo - SP",52 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 6.900 /mês,R$ 1.100
70,"Apartamento com 2 Quartos para Aluguel, 90m²","Rua da Consolação - Cerqueira César, São Paulo - SP",90 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 7.300 /mês,R$ 1.300
71,"Apartamento com Quarto para Aluguel, 56m²","Rua Abelardo Pinto Piolin, 91 - Centro, São Paulo - SP",56 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.600 /mês,R$ 0
72,"Apartamento com Quarto para Aluguel, 47m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",47 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.800 /mês,R$ 536
73,"Apartamento com 2 Quartos para Aluguel, 105m²","Avenida Barão de Monte Mor, 613 - Real Parque, São Paulo - SP",105 m²,2 Quartos,4 Banheiros,3 Vagas,R$ 3.800 /mês,R$ 1.600
74,"Apartamento com 2 Quartos para Aluguel, 77m²","Rua João Moura, 2311 - Vila Madalena, São Paulo - SP",77 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.400 /mês,R$ 795
75,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Dona Veridiana, 521 - Higienópolis, São Paulo - SP",62 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.811 /mês,R$ 689
76,"Apartamento com 2 Quartos para Aluguel, 74m²","Rua Havaí, 295 - Sumaré, São Paulo - SP",74 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 5.900 /mês,R$ 850
77,"Apartamento com Quarto para Aluguel, 50m²","Rua Luís Coelho, 53 - Consolação, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.125 /mês,R$ 475
78,"Apartamento com Quarto para Aluguel, 78m²","Rua Diogo Jácome, 554 - Vila Nova Conceição, São Paulo - SP",78 m²,1 Quarto,2 Banheiros,2 Vagas,R$ 8.800 /mês,R$ 2.308
79,"Apartamento com 2 Quartos para Aluguel, 75m²","Alameda Casa Branca, 822 - Jardim Paulista, São Paulo - SP",75 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 1.200
80,"Apartamento com Quarto para Aluguel, 21m²","Rua Campevas, 117 - Perdizes, São Paulo - SP",21 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.100 /mês,R$ 250
81,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida Raimundo Pereira de Magalhães, 2616 - Jardim Íris, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 500
82,"Apartamento com 3 Quartos para Aluguel, 70m²","Rua Carneiro da Cunha - Saúde, São Paulo - SP",70 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 901
83,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Antônio Carlos, 396 - Jardins, São Paulo - SP",62 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 640
84,"Apartamento com Quarto para Aluguel, 48m²","Rua Afonso Celso, 150 - Vila Mariana, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.350 /mês,R$ 530
85,"Apartamento com 3 Quartos para Aluguel, 121m²","Rua Borges Lagoa - Vila Clementino, São Paulo - SP",121 m²,3 Quartos,5 Banheiros,2 Vagas,R$ 3.900 /mês,R$ 1.683
86,"Apartamento com 3 Quartos para Aluguel, 127m²","Rua Itambé, 367 - Higienópolis, São Paulo - SP",127 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 900
87,"Apartamento com 3 Quartos para Aluguel, 131m²","Rua Topázio, 926 - Vila Mariana, São Paulo - SP",131 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 3.300 /mês,R$ 1.480
88,"Apartamento com Quarto para Aluguel, 20m²","Rua Santa Elvira - Tatuapé, São Paulo - SP",20 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.240 /mês,R$ 117
89,"Apartamento com 2 Quartos para Aluguel, 47m²","Avenida Olga Fadel Abarca, 350 - Jardim Santa Terezinha, São Paulo - SP",47 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.250 /mês,R$ 380
90,"Apartamento com Quarto para Aluguel, 51m²","Rua Antônio de Godói, 83 - Centro, São Paulo - SP",51 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.050 /mês,R$ 350
91,"Apartamento com 3 Quartos para Aluguel, 118m²","Rua Francisco Marcondes Vieira, 03 - Lar São Paulo, São Paulo - SP",118 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 5.000 /mês,R$ 1.642
92,"Apartamento com Quarto para Aluguel, 38m²","Rua Doutor Plínio Barreto, 95 - Bela Vista, São Paulo - SP",38 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.508 /mês,R$ 439
93,"Apartamento com 2 Quartos para Aluguel, 56m²","Avenida Mofarrej, 346 - Vila Leopoldina, São Paulo - SP",56 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.400 /mês,R$ 535
94,"Apartamento com Quarto para Aluguel, 38m²","Barra Funda, São Paulo - SP",38 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 479
95,"Apartamento com Quarto para Aluguel, 20m²","Rua Maestro Cardim, 1218 - Liberdade, São Paulo - SP",20 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.450 /mês,R$ 0
96,"Apartamento com Quarto para Aluguel, 50m²","Rua André Casado, 215 - Sumaré, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 6.000 /mês,R$ 78.140
97,"Apartamento com 2 Quartos para Aluguel, 64m²","Rua Helena, 300 - Vila Olímpia, São Paulo - SP",64 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 4.490 /mês,R$ 840
98,"Apartamento com Quarto para Aluguel, 17m²","Rua Vergueiro, 1009 - Paraíso, São Paulo - SP",17 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.150 /mês,R$ 360
99,"Apartamento com 2 Quartos para Aluguel, 79m²","Rua João Teixeira da Silva, 415 - Vila Invernada, São Paulo - SP",79 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 2.800 /mês,R$ 700
100,"Apartamento com Quarto para Aluguel, 37m²","Avenida Jabaquara, 2461 - Mirandópolis, São Paulo - SP",37 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.700 /mês,R$ 450
101,"Apartamento com 3 Quartos para Aluguel, 105m²","Rua Jorge Americano, 380 - Alto da Lapa, São Paulo - SP",105 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 867
102,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Canário, 943 - Moema, São Paulo - SP",75 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 6.000 /mês,R$ 960
103,"Apartamento com 3 Quartos para Aluguel, 141m²","Rua Bom Jesus, 72 - Vila Regente Feijó, São Paulo - SP",141 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 3.700 /mês,R$ 1.700
104,"Apartamento com Quarto para Aluguel, 40m²","Rua Alexandre Dumas, 1601 - Chácara Santo Antônio, São Paulo - SP",40 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.000 /mês,R$ 590
105,"Apartamento com Quarto para Aluguel, 54m²","Avenida Bem-te-vi, 362 - Moema, São Paulo - SP",54 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 550
106,"Apartamento com Quarto para Aluguel, 48m²","Rua Diogo Jácome, 554 - Vila Nova Conceição, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 5.200 /mês,R$ 1.462
107,"Apartamento com 2 Quartos para Aluguel, 67m²","Rua Jericó, 159 - Sumarezinho, São Paulo - SP",67 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.600 /mês,R$ 819
108,"Apartamento com Quarto para Aluguel, 30m²","Pinheiros, São Paulo - SP",30 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.200 /mês,R$ 450
109,"Apartamento com 3 Quartos para Aluguel, 90m²","Rua Joaquim Antunes, 1034 - Pinheiros, São Paulo - SP",90 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 6.300 /mês,R$ 1.100
110,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Vicente Fernandes Pinto, 159 - Vila Água Funda, São Paulo - SP",75 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.500 /mês,R$ 651
111,"Apartamento com Quarto para Aluguel, 50m²","Avenida Cásper Líbero, 623 - Centro, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.100 /mês,R$ 500
112,"Apartamento com 3 Quartos para Aluguel, 72m²","Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Butantã, São Paulo - SP",72 m²,3 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 618
113,"Apartamento com 2 Quartos para Aluguel, 78m²","Rua Bandeira Paulista, 766 - Itaim Bibi, São Paulo - SP",78 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 7.300 /mês,R$ 1.735
114,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Fidélis Papini, 786 - Vila Prudente, São Paulo - SP",80 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.800 /mês,R$ 798
115,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Herculano de Freitas, 359 - Cerqueira César, São Paulo - SP",60 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 977
116,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Tutóia, 216 - Vila Mariana, São Paulo - SP",110 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 5.900 /mês,R$ 990
117,"Apartamento com Quarto para Aluguel, 35m²","Rua João Pais, 168 - Brooklin, São Paulo - SP",35 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.570 /mês,R$ 530
118,"Apartamento com 3 Quartos para Aluguel, 92m²","Alameda dos Arapanés, 725 - Indianópolis, São Paulo - SP",92 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 790
119,"Apartamento com 2 Quartos para Aluguel, 97m²","Rua Elizabeth Barbegian Baldinato, 18 - Vila Suzana, São Paulo - SP",97 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 2.350 /mês,R$ 1.230
120,"Apartamento com 2 Quartos para Aluguel, 52m²","Rua Desembargador Rodrigues Sette, 365 - Jardim Peri, São Paulo - SP",52 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.000 /mês,R$ 424
121,"Apartamento com Quarto para Aluguel, 50m²","Alameda Lorena, 559 - Jardim Paulista, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 603
122,"Apartamento com Quarto para Aluguel, 47m²","Rua Doutor Jesuíno Maciel, 2105 - Campo Belo, São Paulo - SP",47 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.250 /mês,R$ 800
123,"Apartamento com 2 Quartos para Aluguel, 115m²","Rua Ministro Gabriel de Rezende Passos, 26 - Moema, São Paulo - SP",115 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 8.500 /mês,R$ 1.239
124,"Apartamento com Quarto para Aluguel, 66m²","Rua Alfredo Pujol, 451 - Santana, São Paulo - SP",66 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 3.400 /mês,R$ 780
125,"Apartamento com 3 Quartos para Aluguel, 101m²","Rua Giovani Pattoli, 606 - Jardim Avelino, São Paulo - SP",101 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 3.300 /mês,R$ 950
126,"Apartamento com 4 Quartos para Aluguel, 274m²","Rua Traipu - Pacaembu, São Paulo - SP",274 m²,4 Quartos,5 Banheiros,3 Vagas,R$ 7.500 /mês,R$ 3.434
127,"Apartamento com Quarto para Aluguel, 35m²","Alameda Barros, 380 - Higienópolis, São Paulo - SP",35 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.750 /mês,R$ 519
128,"Apartamento com Quarto para Aluguel, 47m²","Avenida Giovanni Gronchi, 5201 - Morumbi, São Paulo - SP",47 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.199 /mês,R$ 420
129,"Apartamento com 2 Quartos para Aluguel, 117m²","Rua Pedroso Alvarenga - Itaim Bibi, São Paulo - SP",117 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 7.750 /mês,R$ 1.190
130,"Apartamento com Quarto para Aluguel, 47m²","Rua Carlos Facchina, 605 - Americanópolis, São Paulo - SP",47 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.000 /mês,R$ 0
131,"Apartamento com 3 Quartos para Aluguel, 76m²","Avenida Túlio Teodoro de Campos, 190 - Vila Paulista, São Paulo - SP",76 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 1.800 /mês,R$ 724
