,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
798,21,57,1,2,1,610,2000
799,3,70,2,2,1,860,2790
800,41,63,2,2,1,950,1850
801,15,75,3,2,1,680,3000
802,46,38,1,1,1,650,1500
803,29,48,1,1,1,665,2700
804,14,97,2,2,1,0,5400
805,2,38,1,1,1,715,1050
806,35,80,2,1,1,1160,2500
807,0,41,1,1,1,700,2500
808,9,100,2,2,1,1124,4300
809,24,62,1,1,0,375,1190
810,29,54,1,1,2,653,2000
811,32,106,3,3,1,1400,6185
812,29,53,2,2,2,945,3300
813,29,56,2,1,1,524,1300
814,29,50,2,1,1,500,1500
815,36,55,2,1,0,502,1400
816,29,84,2,2,2,790,3500
817,26,75,2,2,1,1027,2400
818,29,76,2,2,2,736,3000
819,29,50,2,1,1,0,2600
820,26,53,2,2,1,520,2500
821,31,105,3,3,1,998,3500
822,5,31,1,1,0,175,1500
823,32,57,1,1,1,888,6000
824,26,75,2,3,2,1250,4100
825,41,25,1,1,0,365,2000
826,26,45,1,2,1,540,2000
827,29,50,2,2,1,800,1000
828,13,125,3,2,1,0,4000
829,2,45,1,1,1,660,1600
830,29,27,1,1,0,0,1280
831,32,30,1,1,0,600,2500
832,29,70,2,2,1,492,1800
833,46,87,3,3,2,1000,3800
834,18,70,3,2,1,500,2300
835,6,55,2,1,1,600,1500
836,29,65,3,1,1,580,1200
837,30,98,2,2,0,1105,2500
838,34,32,1,1,0,435,1699
839,46,50,2,2,1,845,2800
840,48,40,1,1,1,600,4300
841,2,60,2,1,0,0,2200
842,44,96,2,2,1,780,2500
843,33,72,3,2,1,872,2800
844,3,90,3,2,2,1103,3500
845,29,70,3,2,1,446,2400
846,38,140,3,2,2,1300,3800
847,29,57,2,2,2,1017,1800
848,21,100,3,1,1,994,3500
849,33,53,2,1,1,570,2000
850,35,42,1,1,1,870,2600
851,38,77,2,2,1,998,1800
852,1,47,1,1,1,700,2000
853,29,47,2,1,1,450,900
854,48,50,1,1,1,680,2000
855,46,50,1,2,1,550,3500
856,31,86,3,3,1,850,3000
857,29,61,3,1,2,624,1700
858,2,25,1,1,0,295,1200
859,31,80,3,3,1,1330,2300
860,32,60,2,1,0,530,2499
861,12,174,3,2,1,1700,5500
862,31,60,2,1,0,160,1850
863,10,96,2,2,0,509,4400
864,32,24,1,1,0,300,2400
865,32,60,2,1,0,485,2000
866,47,58,2,1,1,700,1800
867,13,40,1,1,1,750,2700
868,29,75,2,1,1,798,1900
869,37,100,3,2,1,920,2999
870,12,29,1,1,0,340,2900
871,2,32,1,1,0,450,1100
872,29,78,3,1,1,1125,3000
873,8,56,1,1,0,0,1600
874,29,53,2,1,1,390,1310
875,25,100,3,2,0,0,1800
876,44,130,3,3,2,1050,5500
877,29,60,2,1,1,342,2900
878,26,46,1,1,1,529,3000
879,8,26,1,1,0,335,1300
880,7,75,2,2,1,800,1600
881,29,62,2,2,1,628,2900
882,32,90,3,2,1,1028,4000
883,5,24,1,1,0,0,1300
884,21,40,1,1,1,0,3800
885,20,50,2,1,1,480,1600
886,12,29,1,1,0,443,1300
887,7,108,3,5,2,1400,5000
888,37,53,1,2,1,875,2990
889,16,60,2,2,1,938,3000
890,18,63,2,2,1,440,2000
891,29,20,1,1,0,0,890
892,29,58,2,1,2,960,4000
893,37,34,2,1,1,400,1600
894,12,51,2,1,1,870,3100
895,3,50,1,1,1,600,3200
896,32,87,2,2,1,1028,3500
897,29,62,3,2,1,484,1700
898,7,60,2,1,1,990,2500
899,46,120,3,3,1,723,2950
900,29,40,1,1,2,639,1300
901,49,25,1,1,1,520,2600
902,39,137,3,3,3,1395,3000
903,40,65,3,2,2,960,1900
904,3,41,1,1,1,650,3450
905,21,100,2,3,2,1270,8500
906,26,61,2,2,1,890,2800
907,29,83,2,2,1,800,5400
908,48,128,3,4,2,1400,8500
909,49,40,1,1,1,413,2500
910,32,84,2,2,2,1400,7000
911,36,70,3,2,1,800,1600
912,29,55,2,2,2,640,2500
913,29,68,3,1,1,650,1700
914,29,64,2,1,1,700,1400
915,47,90,3,2,2,877,2800
916,0,45,2,1,0,465,1500
917,29,75,2,2,2,840,1600
918,27,58,2,2,1,672,1500
919,42,140,4,4,2,1400,4500
920,13,70,2,2,1,960,2600
921,29,60,2,1,1,343,2600
922,49,60,2,1,1,874,2500
923,3,124,3,5,2,1056,7500
924,45,70,2,2,1,797,3050
925,7,78,3,2,1,950,2200
926,49,73,2,3,2,0,5699
927,29,28,1,1,0,0,1600
928,49,94,3,2,1,942,2900
929,49,25,1,1,1,950,2100
930,29,62,2,1,1,626,1468
931,13,64,2,1,1,669,2000
932,28,70,3,1,1,500,1800
933,39,72,3,1,1,650,2840
934,12,46,1,1,1,555,2150
935,16,100,2,3,2,1345,5500
936,10,104,3,4,2,980,3900
937,39,63,2,2,1,450,2700
938,31,65,2,1,2,800,1700
939,3,157,3,3,2,1510,4000
940,39,56,2,1,1,590,1850
941,21,70,2,2,1,1400,5000
942,41,62,1,1,0,427,1300
943,30,105,3,2,1,1250,5500
944,46,53,2,2,1,990,2500
945,2,50,2,1,0,300,1500
946,30,55,1,2,1,640,1700
947,47,150,3,2,3,1500,3000
948,29,32,2,1,0,190,1200
949,35,30,1,1,0,385,1200
950,1,70,2,1,0,160,1400
951,3,67,2,2,2,800,4200
952,2,55,2,1,1,741,2300
953,29,55,2,1,1,500,1500
954,2,36,1,1,0,800,2000
955,13,60,2,2,2,782,4500
956,30,92,3,3,1,1250,3100
957,2,33,1,1,0,487,1300
958,29,55,2,1,1,710,1300
959,31,82,2,2,2,1110,2900
960,26,50,1,1,1,860,1800
961,1,105,3,3,2,1100,4000
962,10,70,2,2,2,887,3800
963,29,79,2,2,1,1000,5500
964,26,66,2,2,1,893,2500
965,26,48,1,1,1,900,1800
966,50,69,3,2,1,460,2500
967,31,110,3,3,1,1415,4000
968,29,74,3,2,1,760,2177
969,0,75,3,2,2,980,3700
970,40,97,3,3,2,1400,4000
971,3,41,1,1,1,630,3800
972,41,25,1,1,0,210,1300
973,27,72,2,2,2,1500,2000
974,21,120,3,2,1,1380,4000
975,46,40,2,1,0,130,1800
976,1,62,2,1,1,730,2800
977,26,110,3,2,2,1522,4000
978,29,38,2,1,0,210,1100
979,10,134,4,4,3,830,4600
980,30,64,2,2,1,751,2350
981,16,125,2,2,1,1660,4500
982,26,75,2,2,1,780,3200
983,13,60,2,2,1,725,5000
984,31,70,2,4,2,1229,3300
985,27,120,3,3,2,1100,3500
986,44,63,2,2,2,810,2900
987,16,63,1,1,1,1250,3200
988,3,116,3,2,2,1300,6000
989,32,95,3,2,2,1268,5500
990,29,55,2,2,1,430,2000
991,32,26,1,1,1,0,3200
992,39,65,2,1,2,576,2200
993,21,79,3,3,1,862,3500
994,29,117,3,3,2,1276,2300
995,29,112,3,1,0,0,2700
996,29,35,1,1,1,695,1950
997,42,43,1,1,1,675,2700
998,9,69,2,2,2,1100,2800
999,49,93,2,3,2,1250,7500
1000,10,45,1,1,1,500,2200
1001,33,41,1,1,1,590,2300
1002,29,45,1,1,1,900,1550
1003,32,80,2,1,1,760,2100
1004,29,118,3,4,3,1175,3300
1005,3,35,1,1,1,550,2500
1006,46,40,1,1,1,447,1900
1007,29,63,2,1,1,473,1400
1008,18,82,2,2,1,620,2400
1009,29,50,2,1,1,600,1600
1010,13,62,2,1,0,689,1811
1011,0,39,1,1,1,530,2260
1012,7,83,2,3,2,700,4500
1013,16,100,3,2,1,1000,4500
1014,47,55,2,1,1,615,2000
1015,29,146,3,3,3,1600,2800
1016,2,45,1,1,0,0,1600
1017,10,70,2,1,1,734,3200
1018,49,40,1,1,1,903,3404
1019,26,45,1,1,1,1000,3500
1020,16,90,2,1,1,1138,3400
1021,40,60,2,2,1,1210,2300
1022,29,50,1,1,1,600,1900
1023,46,65,2,2,1,745,3000
1024,3,70,1,2,1,778,6800
1025,3,60,2,2,0,1023,3300
1026,12,50,1,1,0,381,2000
1027,29,49,2,1,1,477,1160
1028,6,39,1,1,1,530,2260
1029,29,57,2,2,1,1020,4000
1030,29,64,2,1,1,670,1300
1031,18,80,3,1,1,550,1400
1032,9,90,2,2,2,1580,5428
1033,29,100,3,2,0,720,1500
1034,38,30,1,1,0,200,1200
1035,12,35,1,1,1,480,2900
1036,42,58,2,1,1,740,3800
1037,29,84,2,2,2,600,3600
1038,29,30,1,1,1,608,1500
1039,49,81,2,2,1,920,3200
1040,47,64,2,2,2,575,2800
1041,7,45,1,1,1,555,2000
1042,0,46,2,1,1,461,1799
1043,29,115,3,4,2,1000,5000
1044,29,85,1,1,1,607,1300
1045,33,61,2,2,1,930,2500
1046,21,105,1,1,1,1443,1990
1047,32,55,2,1,0,467,2100
1048,2,36,1,1,0,387,1000
1049,21,62,1,2,2,1050,2900
1050,29,54,2,1,1,470,930
1051,15,63,2,2,1,535,2500
1052,39,20,1,1,0,117,1240
1053,25,64,2,2,0,520,1500
1054,38,66,2,2,2,716,3000
1055,12,63,2,1,1,556,1900
1056,37,75,3,2,1,580,1950
1057,7,90,2,2,1,1500,1500
1058,7,76,1,2,2,937,5250
1059,13,80,2,1,1,685,3500
1060,26,38,1,1,1,1000,2300
1061,35,60,2,1,0,680,2800
1062,2,40,1,1,1,437,1000
1063,39,67,2,2,1,476,3000
1064,29,78,2,1,1,485,1850
1065,35,36,1,1,0,340,2200
1066,26,37,1,1,1,1001,1600
1067,29,90,3,2,1,710,1600
1068,29,79,2,2,2,656,5500
1069,29,60,2,1,2,1090,2500
1070,45,126,3,2,2,922,7950
1071,29,120,2,4,2,940,8000
1072,29,51,2,1,1,417,1300
1073,21,56,1,1,1,655,2400
1074,47,156,4,4,2,1500,4100
1075,21,50,2,1,1,837,2600
1076,26,70,2,3,2,830,4500
1077,1,40,1,1,1,470,2000
1078,14,43,1,1,0,730,1800
1079,16,45,1,1,1,717,3200
1080,3,37,1,1,1,700,2300
1081,48,93,2,2,1,980,2300
1082,33,48,1,1,1,650,2484
1083,38,116,3,3,2,1514,3400
1084,29,82,2,3,2,605,3990
1085,12,35,1,1,1,509,1600
1086,29,68,2,2,1,840,1560
1087,29,69,3,2,1,1088,1150
1088,32,40,1,1,1,856,3410
1089,45,87,2,2,0,440,2100
1090,2,45,2,1,1,431,2700
1091,29,140,3,3,2,1400,3800
1092,35,50,1,1,1,827,2500
1093,29,56,2,1,1,515,1500
1094,29,50,2,1,1,500,1500
1095,46,21,1,1,0,350,2100
1096,25,200,3,2,2,0,3800
1097,49,35,1,1,1,700,3200
1098,32,65,2,1,1,730,3240
1099,29,70,3,2,1,720,1300
1100,29,48,2,1,1,500,2300
1101,29,57,2,1,1,575,1100
1102,32,35,1,1,1,548,3800
1103,2,63,2,1,1,1143,3600
1104,6,80,2,2,0,668,1800
1105,31,45,1,1,1,560,2400
1106,12,35,1,1,1,600,3000
1107,3,45,1,1,1,537,3300
1108,42,50,1,1,1,764,1600
1109,29,52,2,1,1,269,1450
1110,29,95,3,3,2,650,4100
1111,12,30,1,1,0,218,1450
1112,6,49,2,1,1,500,1600
1113,3,50,1,1,1,550,4000
1114,46,67,2,2,1,550,3000
1115,39,106,3,4,2,747,4500
1116,15,78,3,2,2,736,2500
1117,45,96,2,3,1,1300,3500
1118,29,45,1,1,0,0,1000
1119,29,103,2,3,2,780,6000
1120,29,69,2,2,1,376,6300
1121,2,30,1,1,0,414,900
1122,3,40,1,1,1,834,1500
1123,26,80,2,3,2,1160,3300
1124,19,75,2,1,0,601,2700
1125,29,49,2,1,1,485,2200
1126,49,100,3,3,2,1350,2500
1127,31,45,1,1,1,564,1900
1128,29,68,2,1,1,350,1150
1129,30,76,3,2,1,750,3200
1130,42,65,2,2,1,1196,2500
1131,10,80,2,1,1,680,2500
1132,9,91,2,2,1,1550,2200
1133,50,55,2,1,1,550,1900
1134,2,52,1,1,0,390,2500
1135,0,70,2,2,3,1212,2200
1136,3,96,1,2,2,1600,7800
1137,29,83,2,3,2,699,4500
1138,49,55,1,1,1,562,2100
1139,47,65,3,2,1,615,3000
1140,3,67,2,2,1,923,4300
1141,29,45,1,1,0,280,1100
1142,29,65,3,2,1,814,1800
1143,3,55,1,2,1,782,1900
1144,45,54,1,1,1,982,2000
1145,42,97,3,3,2,1435,2200
1146,26,42,1,2,1,560,1800
1147,35,97,2,2,1,1016,2200
1148,29,63,3,2,1,575,1300
1149,25,55,2,1,0,340,2000
1150,29,90,2,4,1,1239,2800
1151,29,48,2,1,1,267,1600
1152,26,50,1,1,1,780,1500
1153,6,50,1,1,1,316,1100
1154,15,60,2,2,2,874,1700
1155,2,48,1,2,0,450,2800
1156,24,65,2,2,1,550,3400
1157,3,39,1,1,1,500,2400
1158,29,40,2,1,1,120,1270
1159,29,57,2,1,1,638,1550
1160,38,52,2,1,1,655,2500
1161,33,41,1,1,1,593,2300
1162,30,83,2,1,1,1240,2500
1163,31,35,1,1,1,650,2500
1164,12,44,1,1,1,442,1850
1165,46,51,2,1,0,580,3000
1166,29,48,2,1,1,430,1200
1167,29,49,2,1,1,390,900
1168,25,60,2,2,1,680,2100
1169,29,97,2,3,2,1230,2350
1170,44,88,2,4,2,617,3200
1171,29,64,2,2,1,1000,4200
1172,29,50,2,1,1,400,1600
1173,12,50,1,1,1,700,4000
1174,23,64,2,1,1,368,1450
1175,2,46,1,1,1,381,3100
1176,0,34,1,1,1,887,1400
1177,17,20,1,1,0,185,1135
1178,33,40,1,1,1,530,2200
1179,18,70,3,2,2,700,2300
1180,2,47,1,1,1,817,1850
1181,12,42,1,1,1,492,1480
1182,31,70,2,1,0,333,1680
1183,48,105,2,2,1,1480,6600
1184,29,177,3,4,2,1400,7000
1185,29,28,1,1,0,250,1700
1186,27,125,3,4,2,1100,4900
1187,30,80,2,2,1,1093,2300
1188,29,30,1,1,0,285,1000
1189,3,45,1,1,1,750,2490
1190,7,35,1,1,1,478,1752
1191,2,56,1,2,1,933,4200
1192,7,49,2,1,1,700,2500
1193,14,72,3,2,2,1035,3200
1194,22,111,2,2,1,1431,3500
1195,26,55,2,2,1,520,2480
1196,3,98,2,3,2,1600,8000
1197,47,60,2,2,1,608,2100
1198,0,110,3,2,0,490,3000
1199,3,63,2,2,1,790,2900
1200,16,80,2,3,1,1150,3500
1201,29,36,1,1,1,360,2200
1202,20,78,2,2,2,910,2035
1203,39,46,2,1,1,475,1600
1204,33,123,3,1,2,1617,5000
1205,29,48,2,1,1,0,1350
1206,29,21,1,1,1,300,990
1207,29,32,1,1,0,0,1200
1208,37,68,2,1,1,0,2600
1209,36,50,1,1,0,180,1150
1210,17,49,2,1,1,500,1500
1211,29,57,1,1,1,740,2500
1212,28,77,3,3,2,1300,1600
1213,28,50,2,1,0,309,1100
1214,29,58,2,1,1,0,1300
1215,2,60,2,1,1,792,2600
1216,29,80,2,2,1,1168,4500
1217,2,82,2,2,2,484,2400
1218,28,65,2,2,1,660,2300
1219,31,42,1,1,1,820,2300
1220,21,110,3,3,2,1223,3900
1221,32,38,1,1,1,568,2800
1222,7,42,1,1,1,558,2150
1223,7,70,2,2,2,939,1800
1224,41,55,1,1,0,620,2100
1225,3,66,2,2,1,900,4999
1226,37,65,2,1,1,0,3200
1227,7,125,4,4,2,1415,3000
1228,29,55,2,1,1,350,1250
1229,49,59,1,1,1,903,3000
1230,32,65,2,1,1,760,2100
1231,29,72,3,2,1,670,1900
1232,37,72,3,3,2,785,3200
1233,12,65,2,1,1,0,2700
1234,26,70,2,3,1,785,3500
1235,48,105,2,2,1,1100,5000
1236,39,80,3,3,2,720,2200
1237,29,97,3,3,2,790,2800
1238,29,44,2,1,1,0,1000
1239,8,39,1,1,1,608,1600
1240,26,97,3,3,2,1051,3650
1241,7,42,1,1,1,750,1700
1242,21,74,2,2,1,610,4500
1243,44,96,3,4,2,1074,3600
1244,38,60,2,2,1,806,1500
1245,31,84,2,2,2,1157,2800
1246,45,70,1,1,1,985,5700
1247,16,110,3,2,2,1232,5000
1248,31,120,3,1,2,1100,2700
1249,14,50,1,2,1,570,4500
1250,26,55,2,2,2,881,2700
1251,29,40,2,1,1,0,2100
1252,13,93,3,2,1,934,3000
1253,10,74,2,3,2,1080,3300
1254,16,60,2,2,1,938,3300
1255,2,48,1,1,0,523,1300
1256,29,69,2,2,2,975,2700
1257,39,27,1,1,1,345,1700
1258,12,25,1,1,1,480,1720
1259,44,55,2,2,1,656,2300
1260,15,142,3,5,2,1200,5600
1261,32,110,3,2,0,120,4500
1262,29,65,2,1,1,700,900
1263,29,45,1,1,1,450,2200
1264,29,98,2,3,2,1200,2300
1265,29,70,2,1,1,600,2400
1266,29,57,2,1,1,575,1200
1267,46,120,4,3,2,916,3500
1268,26,72,3,2,1,970,3300
1269,29,35,1,1,0,0,1200
1270,27,62,2,2,2,611,2500
1271,29,52,2,1,1,420,1500
1272,49,70,1,2,1,1200,4550
1273,7,49,1,1,1,575,2600
1274,12,40,1,1,1,479,2600
1275,46,31,1,1,1,528,2420
1276,17,57,2,1,2,543,1600
1277,21,88,2,1,1,0,3400
1278,21,45,1,1,1,780,3000
1279,44,83,2,3,2,1113,2900
1280,38,65,2,1,0,600,2401
1281,29,58,2,1,1,598,1380
1282,3,93,3,4,2,1320,4500
1283,10,70,2,1,2,0,5800
1284,29,96,3,3,2,1018,3500
1285,17,55,2,1,1,433,1300
1286,30,85,2,1,1,939,3000
1287,31,106,3,2,1,989,3500
1288,49,65,2,2,1,875,3500
1289,4,80,2,1,0,200,1300
1290,29,68,3,2,1,500,1600
1291,29,80,2,2,1,847,2300
1292,3,100,2,2,1,1615,3500
1293,29,41,1,1,1,900,2400
1294,35,90,2,2,1,1000,2600
1295,10,70,1,1,1,780,3500
1296,2,75,2,2,2,700,5000
1297,32,63,2,2,0,350,2900
1298,3,35,1,1,1,325,2600
1299,3,45,1,2,1,870,2150
1300,29,50,2,1,2,350,1500
1301,46,60,2,2,1,931,3500
1302,29,36,1,1,0,450,2300
1303,29,45,1,1,0,0,950
1304,23,98,3,2,1,449,2000
1305,31,60,2,2,1,660,2600
1306,29,40,1,1,0,400,1200
1307,29,50,2,1,0,0,1200
1308,29,56,2,1,1,0,1000
1309,29,35,1,1,1,579,600
1310,29,22,1,1,0,450,2400
1311,16,100,3,2,1,1300,2700
1312,29,44,2,1,0,200,1500
1313,29,67,2,2,1,720,3400
1314,29,62,2,2,1,518,2300
1315,29,62,2,1,1,420,1150
1316,13,144,3,3,1,1650,4000
1317,31,80,2,1,1,820,2300
1318,29,57,1,2,2,1350,1700
1319,10,80,2,1,0,300,1890
1320,29,50,2,1,1,190,880
1321,49,80,2,1,0,809,2900
1322,34,24,1,1,0,270,1150
1323,16,48,1,1,1,696,2300
1324,27,59,2,2,2,800,2000
1325,49,62,2,2,1,868,3990
1326,3,104,2,2,1,665,2800
1327,39,65,2,2,2,575,2200
1328,44,96,2,3,2,1500,4700
1329,21,96,2,1,1,1600,3950
1330,26,104,2,2,2,1200,6000
1331,44,35,2,1,0,350,2250
1332,29,74,2,3,2,880,5900
1333,9,64,2,2,1,607,3200
1334,29,64,2,2,1,400,2500
1335,33,60,2,2,2,900,2600
1336,3,41,1,1,1,580,2700
1337,2,42,1,1,1,415,2500
1338,3,70,2,2,1,790,3000
1339,17,33,1,1,0,0,1180
1340,7,50,1,1,0,587,3300
1341,21,42,1,1,2,720,3700
1342,20,50,2,1,1,650,1600
1343,2,40,1,1,1,435,2200
1344,26,40,1,1,1,800,2200
1345,35,100,2,3,1,922,2800
1346,33,70,3,1,1,740,2200
1347,13,41,1,1,1,660,1900
1348,29,54,1,1,1,550,2000
1349,39,52,2,1,1,0,2400
1350,29,74,3,2,1,0,2500
1351,49,63,2,2,1,915,2400
1352,17,47,2,1,1,600,1500
1353,49,65,2,2,1,880,4600
1354,12,43,1,1,1,450,2300
1355,29,69,3,2,2,545,1800
1356,29,55,2,1,1,550,1300
1357,29,32,2,1,0,190,1200
1358,3,50,1,1,1,588,2400
1359,1,62,2,2,1,355,3000
1360,47,37,1,1,0,150,1850
1361,15,140,4,4,2,1300,3900
1362,32,100,3,2,1,1300,3200
1363,38,70,3,2,2,1050,1500
1364,29,70,2,2,1,860,1500
1365,31,90,2,2,1,321,2400
1366,21,41,1,1,1,875,1800
1367,32,35,1,1,1,500,3150
1368,9,40,1,1,0,704,1800
1369,35,50,1,1,0,190,2000
1370,44,73,2,3,1,790,2550
1371,29,45,2,1,0,0,1500
1372,33,75,3,2,2,950,3000
1373,49,78,2,2,2,970,2590
1374,28,142,3,5,2,1162,4000
1375,49,70,2,2,1,895,2300
1376,31,140,2,4,3,1700,8100
1377,32,84,2,2,2,1200,8500
1378,29,70,2,2,2,970,2500
1379,29,41,2,1,0,300,1000
1380,38,35,1,1,0,310,1500
1381,46,101,3,3,0,1133,3500
1382,29,53,2,1,1,389,2499
1383,3,35,1,1,1,550,2700
1384,29,59,3,2,1,740,1500
1385,46,94,3,4,2,810,3600
1386,26,74,2,2,1,800,3000
1387,46,85,3,4,2,1226,4000
1388,29,70,2,1,1,750,2999
1389,31,62,2,2,2,720,3000
1390,21,50,1,1,1,603,2500
1391,39,63,2,2,2,592,2600
1392,29,68,3,2,1,943,2700
1393,3,96,3,2,1,1350,4500
1394,46,119,3,2,2,1400,6200
1395,0,64,1,1,1,0,3200
1396,29,37,1,1,1,512,2350
1397,31,80,2,2,1,703,3700
1398,30,110,2,2,1,605,1875
1399,29,90,3,2,1,440,1400
1400,20,63,3,2,1,678,1700
1401,32,130,3,2,0,607,2500
1402,29,27,1,1,0,85,775
1403,38,55,2,1,0,687,2300
1404,38,70,3,2,1,820,2000
1405,29,62,2,2,1,818,4700
1406,2,63,2,1,1,0,5600
1407,2,96,2,2,1,800,2800
1408,2,105,2,2,1,850,3000
1409,29,45,1,1,0,340,1300
1410,12,42,1,1,1,483,2000
1411,11,92,3,2,1,726,3000
1412,3,55,2,2,1,560,2000
1413,28,102,3,3,2,905,5000
1414,29,70,2,1,1,600,2400
1415,29,45,2,1,1,0,900
1416,26,80,2,2,1,950,2500
1417,46,77,3,1,2,770,3500
1418,44,98,3,2,1,710,3490
1419,31,55,1,2,1,350,1700
1420,23,57,2,1,1,510,1000
1421,21,54,2,2,1,1000,5000
1422,5,17,1,1,0,0,1350
1423,49,54,1,1,1,660,3400
1424,5,67,2,1,2,705,1500
1425,21,130,2,3,1,1180,5000
1426,2,60,2,1,0,320,1970
1427,29,62,3,2,1,450,1750
1428,40,58,2,1,1,550,1600
1429,29,106,4,2,2,1250,2600
1430,12,120,2,1,0,771,2600
1431,42,65,2,2,1,1050,1600
1432,0,65,2,2,2,0,4500
1433,2,55,2,2,1,844,3100
1434,10,38,1,1,1,380,2100
1435,26,70,2,2,1,850,3000
1436,46,41,1,1,1,1415,2200
1437,13,193,3,2,1,1701,6000
1438,5,82,3,2,1,539,2550
1439,46,78,2,2,2,970,3100
1440,2,157,3,2,0,400,2999
1441,45,31,1,1,0,450,3000
1442,29,60,1,2,1,616,1750
1443,29,56,2,2,1,420,1700
1444,32,108,3,2,1,1150,3300
1445,25,60,2,2,2,900,3000
1446,49,89,3,2,2,914,6170
1447,0,50,2,2,1,642,2500
1448,29,60,2,1,0,140,1800
1449,31,45,1,2,1,768,1950
1450,24,25,1,1,0,447,1900
1451,6,50,2,1,1,800,2000
1452,21,134,3,3,1,1100,6000
1453,3,85,3,4,2,901,7300
1454,36,115,3,3,2,1383,3200
1455,2,35,1,1,1,551,2356
1456,26,83,2,1,1,1037,2500
1457,29,70,3,1,0,0,1300
1458,29,56,2,1,2,670,1700
1459,39,75,2,1,1,300,1100
1460,21,42,1,1,1,1300,2500
1461,29,47,2,1,1,340,1800
1462,34,32,1,1,1,785,1100
1463,39,48,2,1,1,495,1500
1464,43,55,2,2,1,560,2300
1465,42,100,3,4,2,1390,4000
1466,48,48,1,1,1,1193,4837
1467,29,70,3,2,1,580,1800
1468,2,43,1,1,0,500,1150
1469,14,50,1,1,1,871,4500
1470,36,86,2,1,1,686,1850
1471,29,67,2,2,1,414,2300
1472,44,73,2,3,2,885,2700
1473,29,65,3,2,1,927,1515
1474,46,90,2,2,1,950,2250
1475,31,82,3,3,0,1300,2700
1476,4,72,3,2,0,450,2300
1477,29,96,2,1,0,250,1500
1478,43,55,2,1,1,558,1550
1479,18,70,3,2,2,600,2400
1480,15,68,2,1,1,622,2600
1481,29,31,1,1,1,500,1800
1482,21,137,3,3,1,1187,6400
1483,1,71,3,2,1,625,3300
1484,6,39,1,1,1,530,2260
1485,10,52,2,1,1,600,3000
1486,29,80,2,2,2,896,3000
1487,29,65,2,2,1,800,3500
1488,23,80,2,1,1,0,1900
1489,29,60,2,1,1,835,1400
1490,29,130,3,3,2,1150,5500
1491,29,45,1,1,2,900,1500
1492,49,70,2,1,1,975,8000
1493,26,65,2,2,1,790,2000
1494,13,60,1,1,1,550,2200
1495,48,40,1,1,1,0,3200
1496,48,62,2,2,1,873,4800
1497,31,80,3,3,2,1200,2900
1498,15,35,1,1,1,560,2400
1499,30,47,2,1,0,600,2600
1500,22,31,1,1,1,806,2400
1501,40,48,2,1,1,430,2200
1502,16,60,1,2,1,1200,4500
1503,12,38,1,1,1,1200,1300
1504,3,43,1,1,1,630,1800
1505,19,30,1,1,1,720,1750
1506,30,80,2,1,1,980,2500
1507,29,62,1,2,1,750,3950
1508,46,90,3,2,0,290,2200
1509,7,132,3,1,1,1600,4500
1510,46,40,1,1,1,500,3500
1511,10,70,2,2,1,734,3200
1512,4,60,2,2,0,500,1600
1513,11,125,3,3,2,1300,4750
1514,26,50,1,1,1,600,2736
1515,49,55,2,1,1,748,2500
1516,29,70,2,1,1,853,1850
1517,29,56,2,2,1,600,1950
1518,3,42,1,1,1,675,1700
1519,15,101,2,4,2,1007,3200
1520,7,62,2,2,1,720,2400
1521,3,84,2,3,2,900,8500
1522,23,67,2,2,2,490,3500
1523,39,117,3,3,3,960,3100
1524,26,110,3,4,2,1356,4100
1525,29,67,3,3,1,820,3200
1526,29,104,3,2,1,1600,1500
1527,28,210,4,4,2,1300,4800
1528,38,34,1,1,1,560,1700
1529,29,58,2,1,2,798,4400
1530,3,86,3,2,1,820,2300
1531,18,56,2,1,1,516,2000
1532,39,117,3,2,3,1318,2900
1533,29,49,2,1,1,430,1690
1534,26,105,3,3,2,872,6000
1535,12,35,1,1,1,550,3200
1536,3,111,2,4,2,1200,7000
1537,26,72,2,2,2,950,4150
1538,28,55,2,2,1,270,2700
1539,50,48,2,1,1,0,2100
1540,29,58,3,1,1,650,2000
1541,2,42,1,1,1,415,2500
1542,9,76,2,2,2,550,4500
1543,49,80,3,2,2,1100,4200
1544,11,145,3,4,2,991,5200
1545,45,77,2,2,2,970,4700
1546,29,68,2,2,1,860,1800
1547,26,80,2,3,2,1040,3300
1548,32,80,2,1,1,760,2150
1549,20,70,3,2,2,595,1945
1550,29,49,1,1,1,480,2800
1551,46,108,3,1,2,850,6000
1552,37,85,3,2,1,0,4000
1553,29,65,2,2,1,420,2300
1554,28,50,2,1,0,500,1300
1555,7,62,1,2,2,0,4000
1556,29,101,3,4,2,950,3300
1557,26,140,4,4,2,1672,5500
1558,32,67,2,2,2,1050,3500
1559,39,73,2,2,2,650,3000
1560,29,59,2,1,1,800,2200
1561,41,70,2,2,2,800,3100
1562,11,70,2,2,1,770,4200
1563,16,40,1,1,1,1009,1578
1564,39,52,2,1,1,550,1500
1565,20,92,3,1,2,772,3500
1566,7,60,2,2,1,918,2999
1567,3,65,2,2,2,800,3985
1568,29,84,3,3,2,584,2500
1569,41,52,1,1,0,526,1500
1570,26,40,1,1,1,789,1800
1571,9,38,1,1,1,509,2000
1572,29,62,3,1,1,630,1800
1573,49,60,2,2,1,867,3000
1574,7,75,2,1,1,616,2500
1575,46,63,2,2,1,770,2500
