,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
183,29,75,2,2,1,650,3200
184,36,32,1,1,1,636,1800
185,29,68,2,1,1,950,1800
186,6,72,2,1,1,668,2000
187,29,48,2,1,2,0,900
188,40,50,2,1,1,330,1950
189,42,50,1,1,1,850,1600
190,20,182,3,2,2,1600,6600
191,47,70,2,2,2,795,3100
192,46,72,2,1,1,820,2300
193,27,50,2,1,1,420,1880
194,25,62,2,2,1,1250,1500
195,21,42,1,1,1,699,1399
196,36,104,3,4,2,1316,2300
197,21,90,1,2,1,1500,3200
198,32,73,2,2,2,1300,3900
199,45,75,2,2,1,1012,3800
200,49,105,3,3,1,950,2700
201,31,70,2,2,1,925,2200
202,29,95,2,3,2,880,4100
203,2,50,2,1,0,705,2200
204,49,63,2,2,1,998,5500
205,1,86,2,2,1,550,3600
206,32,74,2,1,2,1643,6219
207,29,83,3,2,1,680,2800
208,2,35,1,1,0,0,1300
209,49,53,2,1,1,890,2500
210,50,64,2,1,1,480,2000
211,29,48,2,1,1,267,1600
212,23,138,3,5,3,874,6800
213,0,46,2,1,1,400,2250
214,22,85,2,3,1,1319,3950
215,29,62,2,1,1,518,1800
216,17,60,2,1,1,600,1700
217,44,83,3,3,2,950,3300
218,29,50,2,1,0,0,1170
219,1,65,2,2,2,785,2950
220,6,55,2,1,1,300,1200
221,29,45,2,1,1,393,950
222,1,33,1,1,0,290,1500
223,2,25,1,1,1,600,1700
224,16,38,1,1,1,821,4114
225,25,55,1,2,1,504,3500
226,29,172,3,5,3,1350,5300
227,29,49,2,1,1,280,700
228,32,85,2,2,2,775,5500
229,42,75,2,2,1,990,2700
230,45,70,2,2,1,900,4200
231,21,98,3,2,1,1133,4400
232,31,67,2,2,1,640,3000
233,47,100,3,3,2,1100,3000
234,46,80,2,2,1,796,2300
235,12,40,1,1,1,500,2500
236,2,42,1,1,1,416,2500
237,42,90,3,2,1,0,2900
238,49,77,1,2,1,1200,7800
239,29,40,1,1,0,70,1250
240,29,30,1,1,0,371,2300
241,39,64,3,1,1,670,1500
242,22,125,3,2,1,1550,7500
243,29,64,2,2,1,400,2200
244,29,46,2,1,1,380,1100
245,1,54,2,2,1,580,2400
246,26,130,3,3,2,1287,5200
247,20,63,3,1,1,450,1800
248,15,63,1,1,0,0,1400
249,29,76,2,2,2,956,2700
250,29,45,2,1,0,380,1390
251,7,50,1,1,1,420,3500
252,29,75,3,2,1,0,2200
253,46,90,2,2,2,950,4899
254,46,39,2,1,1,600,1650
255,38,96,3,3,2,0,4500
256,32,45,1,1,1,1002,2200
257,12,42,1,1,0,550,2700
258,27,145,4,4,2,1201,2900
259,7,44,1,1,1,665,1900
260,13,95,2,2,1,968,2500
261,8,47,1,1,1,632,2500
262,42,169,3,5,3,1492,6500
263,26,44,1,1,1,582,2200
264,30,100,3,1,2,1550,3500
265,49,35,1,1,1,859,3000
266,22,41,1,1,1,700,2600
267,17,55,2,1,1,600,1380
268,2,103,3,3,1,1430,3500
269,29,76,3,2,1,550,3400
270,29,44,2,1,0,0,1000
271,29,80,3,2,1,500,2000
272,39,45,1,1,1,458,2350
273,29,30,1,1,0,150,1150
274,2,150,3,3,1,1200,5000
275,14,24,1,1,1,400,1800
276,31,60,2,2,1,620,2700
277,29,77,2,2,2,980,6200
278,15,95,3,2,1,740,2200
279,17,114,3,2,2,1300,2200
280,32,60,2,1,1,880,3500
281,2,98,3,2,1,995,3300
282,31,34,1,2,1,797,1700
283,1,33,1,1,1,366,2200
284,36,70,2,2,1,570,1700
285,29,137,3,4,3,1393,3000
286,40,70,2,2,2,900,1150
287,31,130,4,6,3,1700,5500
288,21,66,1,1,1,0,8000
289,26,45,1,1,1,778,2500
290,3,72,2,2,1,1000,5500
291,29,141,3,4,2,1700,3700
292,29,62,2,2,1,720,2600
293,29,42,1,2,1,622,1000
294,29,70,3,2,2,856,1900
295,24,45,2,1,1,203,1700
296,33,75,3,2,2,1100,3200
297,39,42,1,1,1,667,1440
298,40,181,3,2,2,663,3800
299,41,58,2,1,0,690,1990
300,38,60,2,2,2,680,3000
301,27,79,2,3,1,594,3400
302,33,60,2,2,2,1152,2500
303,42,40,1,1,1,450,2200
304,49,120,2,3,1,1050,4000
305,44,88,2,3,2,0,3500
306,29,73,2,2,2,550,3800
307,9,73,2,2,1,815,5950
308,29,127,3,3,2,880,4200
309,32,32,1,1,1,800,2500
310,8,30,1,1,0,338,1500
311,21,35,1,1,1,509,1600
312,47,60,2,2,1,580,1300
313,32,85,2,2,1,1200,3000
314,30,160,3,2,1,980,4900
315,31,60,2,3,2,1170,2900
316,29,34,1,1,1,560,1600
317,48,57,1,2,1,1120,5899
318,3,87,2,2,1,680,3100
319,16,90,2,2,1,765,4100
320,29,63,3,1,1,731,2300
321,6,105,3,2,1,1050,2500
322,41,55,1,1,0,554,1400
323,29,165,4,4,3,1100,4500
324,40,42,2,1,0,350,1000
325,7,72,2,2,2,881,3900
326,49,100,3,3,1,970,3750
327,17,49,1,1,1,720,1300
328,46,59,1,2,1,720,2200
329,4,54,1,1,0,130,1300
330,14,38,1,1,1,1100,2300
331,41,65,2,2,1,1039,1800
332,44,52,1,1,1,600,2600
333,27,65,3,1,1,490,1550
334,26,80,2,3,1,950,2600
335,29,38,2,1,1,300,800
336,32,74,2,1,2,1643,5100
