,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
2518,Bela Vista,55,2,2,1,3600,900,4500,81.818184
2519,Jardins,380,4,5,5,70000,8900,78900,207.63158
2520,Vila Olímpia,93,3,3,2,9000,1121,10121,108.82796
2521,Moema,85,2,2,1,2300,1000,3300,38.82353
2522,Pinheiros,93,2,1,0,2500,400,2900,31.182796
2523,Consolação,35,1,1,1,2750,550,3300,94.28571
2524,Consolação,28,1,1,0,1950,450,2400,85.71429
2525,República,261,3,3,1,8540,4100,12640,48.42912
2526,Cerqueira César,32,1,1,0,2000,150,2150,67.1875
2527,Campo Belo,82,2,2,1,2000,1149,3149,38.40244
2528,Jardim América,75,2,1,0,2700,601,3301,44.013332
2529,Jardim Paulista,60,2,2,1,2900,1189,4089,68.15
2530,Pinheiros,95,3,4,2,3500,1219,4719,49.673683
2531,Vila Olímpia,65,2,2,1,2500,1200,3700,56.923077
2532,Sumaré,55,2,1,1,2100,515,2615,47.545456
2533,Vila Nova Conceição,226,4,2,4,22000,2960,24960,110.442474
2534,Outro,51,2,1,1,1127,273,1400,27.450981
2535,Vila Mariana,80,2,2,1,1700,700,2400,30.0
2536,Jardim Marajoara,92,3,1,2,3500,772,4272,46.434784
2537,Pinheiros,94,3,2,2,5000,1080,6080,64.680855
2538,Aclimação,34,1,1,1,1400,887,2287,67.26471
2539,Aclimação,48,1,2,1,3500,1088,4588,95.583336
2540,Indianópolis,108,3,2,1,4000,1080,5080,47.037037
2541,Perdizes,130,3,2,2,3900,1717,5617,43.20769
2542,Alto da Lapa,139,5,5,2,4900,1500,6400,46.043167
2543,Outro,70,2,1,1,2999,750,3749,53.557144
2544,Jardins,122,3,3,1,5000,1550,6550,53.688526
2545,Outro,94,2,3,2,3500,1280,4780,50.851063
2546,Chácara Inglesa,55,2,1,1,2009,907,2916,53.01818
2547,Ipiranga,140,4,3,2,3605,1315,4920,35.142857
2548,Bela Vista,48,1,1,1,2450,780,3230,67.291664
2549,Móoca,65,2,2,1,2100,631,2731,42.015385
2550,Morumbi,69,2,2,2,2000,1007,3007,43.579712
2551,Jabaquara,125,2,3,0,1900,250,2150,17.2
2552,Outro,76,3,2,2,1500,610,2110,27.763159
2553,Ipiranga,75,2,1,1,2220,0,2220,29.6
2554,Vila Leopoldina,52,1,1,1,1800,650,2450,47.115383
2555,Cerqueira César,45,1,1,1,2000,1300,3300,73.333336
2556,Vila Mariana,90,3,3,1,4000,750,4750,52.77778
2557,Moema,36,1,1,1,1600,539,2139,59.416668
2558,Sumaré,55,1,1,2,2600,1085,3685,67.0
2559,Paraíso,39,1,1,1,1700,875,2575,66.02564
2560,Jardim Paulista,113,2,3,2,7000,1395,8395,74.29204
2561,Vila Nova Conceição,226,4,4,4,22000,2962,24962,110.451324
2562,Consolação,70,2,1,1,1400,883,2283,32.614285
2563,Pinheiros,30,1,1,0,1700,856,2556,85.2
2564,Itaim Bibi,215,4,6,3,14000,2800,16800,78.139534
2565,Santana,70,3,2,1,1600,800,2400,34.285713
2566,Tatuapé,40,1,1,1,2800,460,3260,81.5
2567,Vila Nova Conceição,234,3,4,4,28000,2025,30025,128.31197
2568,Vila Leopoldina,35,1,1,0,1800,350,2150,61.42857
2569,Santo Amaro,53,1,1,1,1899,457,2356,44.45283
2570,Itaim Bibi,156,3,4,1,2800,1600,4400,28.205128
2571,Pinheiros,30,1,1,1,3000,550,3550,118.333336
