,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
672,Tatuapé,106,3,4,2,4500,747,5247,49.5
673,Jabaquara,40,1,1,1,1300,0,1300,32.5
674,Vila Mascote,87,2,3,2,3000,750,3750,43.103447
675,Pinheiros,46,1,1,1,3500,794,4294,93.347824
676,Vila Leopoldina,142,4,5,2,6500,1089,7589,53.44366
677,Outro,73,2,1,1,1500,880,2380,32.60274
678,Morumbi,84,3,2,1,3500,730,4230,50.357143
679,Vila Mariana,60,2,2,1,3500,931,4431,73.85
680,Morumbi,59,1,2,1,2900,937,3837,65.0339
681,Moema,143,2,4,3,9000,2992,11992,83.86014
682,Vila Leopoldina,141,3,5,2,5300,1100,6400,45.39007
683,Campo Belo,60,2,3,1,2300,963,3263,54.383335
684,Vila Olímpia,72,2,2,1,4500,986,5486,76.19444
685,Ipiranga,111,3,4,2,5500,1000,6500,58.55856
686,Pinheiros,51,2,1,1,2970,800,3770,73.92157
687,Vila Sônia,40,2,1,0,1450,80,1530,38.25
688,Vila Formosa,65,3,2,1,1515,927,2442,37.56923
689,Brooklin,229,4,6,4,21500,2300,23800,103.93013
690,Bela Vista,46,1,1,1,2700,316,3016,65.565216
691,Moema,57,2,1,1,2300,960,3260,57.19298
692,Pompeia,78,3,1,2,2500,1111,3611,46.294872
693,Jardins,51,1,1,1,2800,2300,5100,100.0
694,Aclimação,39,1,1,1,2260,530,2790,71.53846
695,Jardim Prudência,65,2,2,1,2800,386,3186,49.015385
696,Vila Gomes Cardim,87,3,3,1,1600,900,2500,28.735632
697,Vila Nova Conceição,49,1,1,1,890,2110,3000,61.22449
698,Vila Andrade,51,2,1,1,2750,350,3100,60.784313
699,Moema,45,1,1,1,1766,684,2450,54.444443
700,Pinheiros,74,2,1,2,5100,1643,6743,91.12162
701,Outro,45,2,1,0,950,150,1100,24.444445
702,Pinheiros,39,1,1,1,5000,607,5607,143.76923
703,Chácara Santo Antônio,57,2,1,1,4200,550,4750,83.333336
704,Vila Mariana,50,1,2,1,3499,448,3947,78.94
705,Vila Leopoldina,53,2,1,1,2500,700,3200,60.377357
706,Cambuci,50,2,1,1,1450,520,1970,39.4
707,Jardim Paulista,115,4,4,2,6200,981,7181,62.443478
708,Saúde,35,1,1,1,2000,450,2450,70.0
709,Bela Vista,40,1,1,1,2400,508,2908,72.7
710,Perdizes,62,2,2,1,3000,798,3798,61.258064
711,Bom Retiro,200,3,2,1,2200,2000,4200,21.0
712,Vila Guarani,106,3,3,2,4300,955,5255,49.57547
713,Outro,270,3,3,3,16000,3100,19100,70.74074
714,Indianópolis,200,3,3,3,7500,3100,10600,53.0
715,Vila Leopoldina,68,2,1,1,2200,648,2848,41.882355
716,Butantã,67,3,2,1,2900,450,3350,50.0
717,Barra Funda,65,2,2,0,2100,680,2780,42.76923
718,Outro,69,3,2,2,2250,747,2997,43.434784
719,Itaim Bibi,85,3,2,1,4000,834,4834,56.870586
720,Outro,57,2,1,1,1000,0,1000,17.54386
721,Campos Eliseos,50,1,1,0,1300,350,1650,33.0
722,Perdizes,63,2,2,1,4500,850,5350,84.92063
723,Brás,32,1,1,0,1350,300,1650,51.5625
724,Vila Mariana,48,1,1,0,1350,530,1880,39.166668
725,Outro,58,2,2,1,2300,507,2807,48.396553
726,Pirituba,70,2,2,1,1300,600,1900,27.142857
727,Jardim Paulista,536,3,4,5,30000,8200,38200,71.268654
728,Itaim Bibi,60,1,2,1,3500,1750,5250,87.5
729,Campo Belo,74,2,2,2,4500,960,5460,73.78378
730,Brooklin,87,2,2,1,3000,611,3611,41.50575
731,Vila Mascote,85,3,4,2,2400,1090,3490,41.058823
732,Outro,45,2,1,1,1450,267,1717,38.155556
733,Campo Belo,45,1,2,1,3000,352,3352,74.48889
734,Outro,60,1,1,0,1200,0,1200,20.0
735,Vila Mariana,80,3,1,3,3500,1205,4705,58.8125
736,Morumbi,69,2,3,1,1900,1003,2903,42.072464
737,Brooklin,132,3,4,3,11000,1000,12000,90.90909
738,Pinheiros,86,2,2,1,3100,1264,4364,50.744186
739,Chácara Santo Antônio,74,2,3,2,3300,1080,4380,59.18919
740,Pinheiros,84,2,2,2,7000,1400,8400,100.0
741,Moema,110,3,5,1,5000,1470,6470,58.81818
742,Jardins,130,3,2,1,5200,1200,6400,49.23077
743,Móoca,56,2,1,1,1690,495,2185,39.017857
744,Outro,50,2,1,1,1400,290,1690,33.8
745,Santo Amaro,112,3,3,2,3800,1250,5050,45.089287
746,Vila Sônia,50,2,1,1,1400,465,1865,37.3
747,República,32,1,1,0,1699,435,2134,66.6875
748,Aclimação,86,3,3,2,3500,882,4382,50.953487
749,Itaim Bibi,130,3,3,2,6500,2250,8750,67.30769
750,Perdizes,34,1,2,1,1700,797,2497,73.44118
751,Chácara Santo Antônio,60,2,2,1,2950,630,3580,59.666668
752,Jardim Paulista,110,3,3,1,4000,1263,5263,47.845455
753,Vila Clementino,38,1,1,1,1750,550,2300,60.526318
754,Itaim Bibi,134,2,3,2,17000,1300,18300,136.56717
755,Consolação,83,2,2,1,2100,1073,3173,38.228916
756,Jardim Prudência,65,2,2,1,2100,700,2800,43.076923
757,Pinheiros,50,2,1,0,2600,0,2600,52.0
758,Vila Mariana,77,3,1,2,3100,750,3850,50.0
759,Vila Formosa,66,2,2,1,2257,650,2907,44.045456
760,Móoca,62,3,2,1,2200,400,2600,41.935482
761,Vila Olímpia,150,3,3,2,7900,2213,10113,67.42
762,Outro,69,2,2,1,4000,0,4000,57.971016
763,Outro,83,2,2,2,4200,847,5047,60.807228
764,Vila Andrade,140,3,4,3,4000,1700,5700,40.714287
765,Vila Mariana,31,1,1,1,2420,528,2948,95.09677
766,Outro,69,2,2,1,2424,526,2950,42.753624
767,Outro,80,2,2,1,2200,651,2851,35.6375
768,Outro,90,3,3,1,1950,1098,3048,33.866665
769,Consolação,30,1,1,0,1841,334,2175,72.5
770,Consolação,69,2,2,1,3500,890,4390,63.623188
771,Vila Mariana,18,1,1,0,1375,403,1778,98.77778
772,Vila Mariana,65,2,1,0,2000,401,2401,36.93846
773,Vila Leopoldina,36,1,1,1,1900,758,2658,73.833336
774,Consolação,41,1,1,1,2350,600,2950,71.95122
775,Outro,42,2,1,0,1220,280,1500,35.714287
776,Pinheiros,72,2,2,1,5000,900,5900,81.94444
777,Perdizes,170,3,3,2,2800,3000,5800,34.117645
778,Higienópolis,15,1,1,0,1300,450,1750,116.666664
779,Vila Mascote,63,3,1,1,2050,735,2785,44.20635
780,Vila Nova Conceição,262,4,4,3,18000,3315,21315,81.354965
781,Brooklin,116,3,2,2,6000,1300,7300,62.931034
782,Vila Mariana,60,2,2,1,2000,978,2978,49.633335
783,Campo Belo,43,1,2,1,2700,580,3280,76.27907
784,Vila Buarque,57,1,1,0,1450,0,1450,25.438597
785,Bela Vista,60,2,2,2,2500,700,3200,53.333332
786,Outro,52,2,1,1,1400,460,1860,35.76923
787,Água Branca,60,1,2,1,2000,430,2430,40.5
788,Itaim Bibi,45,1,2,1,2550,983,3533,78.51111
789,Bela Vista,37,1,1,1,2000,450,2450,66.21622
790,Pinheiros,70,2,3,2,9500,972,10472,149.6
791,Outro,76,3,1,2,2800,684,3484,45.842106
792,Outro,52,2,1,1,1600,270,1870,35.96154
793,Saúde,90,3,2,2,2900,968,3868,42.97778
794,Vila Mariana,86,2,2,1,2600,944,3544,41.2093
795,Outro,44,1,2,2,1800,510,2310,52.5
796,Chácara Klabin,118,3,4,2,4700,1455,6155,52.16102
797,Alto de Pinheiros,364,3,5,5,28000,5200,33200,91.20879
798,Lapa,138,3,5,3,6500,812,7312,52.985508
799,Cidade Monções,31,1,1,1,2200,525,2725,87.90323
800,Higienópolis,42,1,1,1,2990,700,3690,87.85714
801,Cerqueira César,69,2,1,0,2900,565,3465,50.217392
802,Santana,158,3,3,3,3500,1400,4900,31.01266
803,Itaim Bibi,65,2,2,1,2600,867,3467,53.338463
804,Moema,144,4,4,2,5700,1640,7340,50.97222
805,Pinheiros,90,3,3,1,2800,1200,4000,44.444443
806,Vila Madalena,280,2,3,3,12500,2362,14862,53.07857
807,Jardim Anália Franco,55,1,1,2,3990,770,4760,86.545456
808,Pinheiros,35,1,1,1,3500,900,4400,125.71429
809,Cerqueira César,29,1,1,1,2800,337,3137,108.17242
810,Moema,140,4,3,2,7000,1764,8764,62.6
811,Cambuci,39,1,1,1,2260,530,2790,71.53846
812,Jardim Prudência,69,3,1,1,1800,688,2488,36.057972
813,Jardim Paulista,33,1,1,1,800,2110,2910,88.181816
814,Vila Mariana,86,3,3,2,3200,750,3950,45.930233
815,Vila Gomes Cardim,93,3,4,2,2500,992,3492,37.548386
816,Cerqueira César,76,2,2,2,4500,550,5050,66.447365
817,Panamby,607,5,8,6,50000,7926,57926,95.429985
818,Saúde,37,1,1,1,2500,506,3006,81.24324
819,Perdizes,76,3,3,2,2650,1000,3650,48.026318
820,Outro,77,3,2,2,3000,703,3703,48.090908
821,Outro,135,3,3,2,3500,2150,5650,41.851852
822,Perdizes,45,1,1,1,1900,564,2464,54.755554
823,Vila Olímpia,55,2,1,1,3000,733,3733,67.87273
824,Paraíso,100,3,1,0,2800,675,3475,34.75
825,Perdizes,82,3,3,2,2400,1290,3690,45.0
826,Brooklin,67,2,1,1,5000,925,5925,88.43284
827,Vila Andrade,47,1,1,1,3500,0,3500,74.46809
828,Jabaquara,49,2,1,1,1500,500,2000,40.816326
829,Vila Nova Conceição,262,4,4,2,12000,3200,15200,58.015266
830,Chácara Klabin,250,4,5,4,15000,1761,16761,67.044
831,Tatuapé,142,3,5,3,3000,1770,4770,33.59155
832,Outro,75,2,2,2,2050,750,2800,37.333332
833,Itaim Bibi,97,2,3,1,3600,1240,4840,49.896908
834,Outro,62,2,2,1,2600,720,3320,53.548386
835,Pinheiros,64,2,2,2,2500,1290,3790,59.21875
836,Vila Madalena,36,1,1,1,3200,561,3761,104.47222
837,Vila Olímpia,65,2,2,1,2700,938,3638,55.96923
838,Moema,27,1,1,0,3500,0,3500,129.62962
839,Saúde,35,1,1,1,1700,700,2400,68.57143
840,Jardim Paulista,53,2,2,1,3450,846,4296,81.0566
841,Santa Cecília,30,1,1,1,1500,424,1924,64.13333
842,Itaim Bibi,170,3,4,3,20000,1865,21865,128.61765
843,Chácara Inglesa,57,2,2,1,2000,683,2683,47.070175
844,Pinheiros,65,2,1,1,2250,760,3010,46.307693
845,Vila Mascote,91,3,3,2,4900,1020,5920,65.05495
846,Santo Amaro,54,1,2,1,2300,630,2930,54.25926
847,Vila Mariana,95,3,2,2,3880,747,4627,48.705265
848,Perdizes,130,4,6,3,5500,1700,7200,55.384617
849,Vila Gomes Cardim,72,1,2,2,2700,700,3400,47.22222
850,Outro,70,3,1,1,1800,312,2112,30.171429
851,Vila Leopoldina,230,4,6,3,12000,1700,13700,59.565216
852,Aclimação,170,3,5,3,9000,1300,10300,60.588234
853,Jardim Paulista,120,3,3,2,4300,1250,5550,46.25
854,Pinheiros,48,1,1,1,3500,680,4180,87.083336
855,Santana,120,3,2,2,2850,911,3761,31.341667
856,Barra Funda,43,2,1,0,1500,320,1820,42.32558
857,Pinheiros,53,1,2,1,2900,920,3820,72.07547
858,Ipiranga,135,4,5,2,4200,1450,5650,41.851852
859,Móoca,142,3,3,2,5800,921,6721,47.330986
860,Liberdade,54,2,1,1,1600,671,2271,42.055557
861,Móoca,86,3,2,1,3000,932,3932,45.720932
862,Vila Cruzeiro,82,3,3,2,3500,1003,4503,54.914635
863,Bela Vista,113,2,2,1,2100,690,2790,24.690266
864,Consolação,30,1,1,1,1800,550,2350,78.333336
865,Butantã,55,2,2,1,1700,705,2405,43.727272
866,Bela Vista,46,1,1,1,3100,381,3481,75.67391
867,Brooklin,36,1,1,1,2150,470,2620,72.77778
868,Bela Vista,75,2,2,1,3700,865,4565,60.866665
869,Brooklin,111,2,4,2,6800,1000,7800,70.27027
870,Santana,66,3,2,2,1950,700,2650,40.151516
871,Outro,58,3,1,1,1000,500,1500,25.862068
872,Brooklin,68,2,2,2,8000,900,8900,130.88235
873,Lapa,93,3,2,2,3250,1100,4350,46.774193
874,Moema,74,2,3,2,7000,832,7832,105.83784
875,Ipiranga,68,2,2,1,2300,700,3000,44.117645
876,Santo Amaro,96,3,3,2,3500,920,4420,46.041668
877,Vila Mariana,170,3,5,2,6000,2000,8000,47.058823
878,Água Branca,53,1,1,1,1520,400,1920,36.226414
879,Vila Anastácio,70,2,2,2,3100,600,3700,52.857143
880,Jardim Paulista,100,2,3,2,8500,1270,9770,97.7
881,Pinheiros,65,2,2,1,4000,975,4975,76.53846
882,Paraíso,110,2,1,1,2950,1200,4150,37.727272
883,Paraíso,124,3,3,2,6000,1100,7100,57.258064
884,Bela Vista,30,1,1,1,1300,514,1814,60.466667
885,Bela Vista,44,1,1,0,2899,475,3374,76.681816
886,Chácara Klabin,60,2,1,2,2500,1090,3590,59.833332
887,Aclimação,40,1,1,1,1900,558,2458,61.45
888,Tatuapé,27,1,1,0,1500,220,1720,63.703705
889,Outro,65,3,1,1,1750,380,2130,32.76923
890,Outro,53,2,1,1,1310,390,1700,32.07547
891,Outro,110,3,3,2,2800,1128,3928,35.70909
892,Pinheiros,105,3,2,2,10000,1400,11400,108.57143
893,Perdizes,118,3,3,2,3500,1265,4765,40.381355
894,Campo Belo,155,3,5,3,10500,1760,12260,79.09677
895,Pinheiros,120,3,4,2,5600,1980,7580,63.166668
896,Jaguaré,62,2,2,1,2300,555,2855,46.048386
897,Moema,67,2,3,2,4000,1300,5300,79.10448
898,Vila Olímpia,32,1,1,1,2340,1010,3350,104.6875
899,Paraíso,130,3,4,3,10500,1860,12360,95.07692
900,Jardim Paulista,107,3,2,1,3500,950,4450,41.588783
901,Moema,40,1,1,1,1899,710,2609,65.225
902,Itaim Bibi,75,1,1,1,2500,1800,4300,57.333332
903,Freguesia do Ó,89,3,2,1,1400,721,2121,23.83146
904,Tatuapé,24,1,1,0,1400,250,1650,68.75
905,Saúde,35,1,1,1,2250,445,2695,77.0
906,Brooklin,72,2,2,1,5500,1000,6500,90.27778
907,Vila Cruzeiro,36,1,1,1,2200,360,2560,71.111115
908,Vila Nova Conceição,70,2,1,0,2900,809,3709,52.985714
909,Outro,61,3,2,1,2300,540,2840,46.557377
910,Santana,52,2,1,1,1300,383,1683,32.365383
911,Ipiranga,60,2,1,0,1700,150,1850,30.833334
912,Brooklin,43,1,1,1,3200,650,3850,89.53488
913,Moema,115,3,3,2,5000,1160,6160,53.565216
914,Campo Belo,78,2,2,1,2200,826,3026,38.794872
915,Indianópolis,72,3,2,2,3200,1035,4235,58.819443
916,Vila Clementino,65,2,2,1,2500,1196,3696,56.861538
917,Jardim Paulista,56,1,1,1,2400,655,3055,54.55357
918,Aclimação,70,2,2,3,2200,1212,3412,48.74286
919,Lapa,63,3,2,1,2400,465,2865,45.47619
920,Outro,40,2,1,0,1150,0,1150,28.75
921,Higienópolis,240,3,2,2,4500,2000,6500,27.083334
922,Vila Olímpia,40,1,1,1,2800,410,3210,80.25
923,Outro,65,3,2,1,2000,550,2550,39.23077
924,Mirandópolis,65,2,2,2,2500,1000,3500,53.846153
925,Pompeia,120,2,4,2,7500,1000,8500,70.833336
926,Vila Nova Conceição,41,1,1,1,2890,1091,3981,97.097565
927,Outro,27,1,1,0,1200,50,1250,46.296295
928,Butantã,14,1,1,0,1200,0,1200,85.71429
929,Perdizes,60,2,1,2,2800,800,3600,60.0
930,Vila Mariana,36,1,1,1,2050,600,2650,73.611115
931,Perdizes,129,3,1,2,3250,1670,4920,38.139534
932,Consolação,24,1,1,0,3200,150,3350,139.58333
933,Cidade Monções,38,1,1,1,3300,560,3860,101.57895
934,Moema,60,2,2,1,2400,865,3265,54.416668
935,Bela Vista,43,1,1,1,3000,0,3000,69.76744
936,Brooklin,72,2,3,2,3500,1120,4620,64.166664
937,Moema,38,1,1,1,550,2700,3250,85.52631
938,Outro,70,2,2,1,1900,594,2494,35.62857
939,Vila Mascote,74,3,2,1,1900,635,2535,34.256756
940,Vila Mariana,70,2,2,1,2500,731,3231,46.157143
941,Pinheiros,93,3,1,2,5300,943,6243,67.129036
942,Cerqueira César,95,2,2,1,3000,998,3998,42.08421
943,Casa Verde,60,2,1,1,1100,470,1570,26.166666
944,Perdizes,130,4,5,3,5500,1700,7200,55.384617
945,Brooklin,96,1,2,2,7800,1600,9400,97.916664
946,Vila Mariana,65,2,2,1,2400,1180,3580,55.076923
947,Pinheiros,71,2,2,2,6000,970,6970,98.169014
948,Outro,82,2,2,2,3000,966,3966,48.365852
949,Vila Clementino,45,1,1,1,2700,645,3345,74.333336
950,Saúde,107,3,1,2,4500,680,5180,48.411217
951,Bela Vista,42,1,1,1,2600,900,3500,83.333336
952,Vila Guarani,57,2,1,1,1900,661,2561,44.929825
953,Vila Mascote,100,3,3,3,1900,1802,3702,37.02
954,Saúde,69,2,2,1,2200,680,2880,41.739132
